Player,3P,2P,TS%,ORB%,DRB%,DBPM,BLK%,STL%,AST%,AST/TOV
A.C. Green,0.36365083385842606,0.29525763563416324,0.7611600892261139,0.8086588094273224,0.732169913284614,0.6456349526095334,0.3967959190707863,0.44197532395011985,0.1424413225796375,0.39507184292336556
Aaron Brooks,0.8367575535720332,0.215194646455412,0.5541965799214026,0.22732457735724748,0.214307797158738,0.0875093314990963,0.2694741030113325,0.4245335345710972,0.7300205696925255,0.6768077217252241
Aaron James,0.09297626683771648,0.787763084134963,0.49807226544538286,0.5818094501359826,0.4667466449471745,0.1331544979729722,0.2441755603908516,0.22699571118073888,0.24129702303736325,0.163519946686484
Aaron McKie,0.5248143992846827,0.16097945800015617,0.36900293320920674,0.31389020169567267,0.5018337500195558,0.7679760783628258,0.3330590586379776,0.8174571681928087,0.6202364220617111,0.7089010401864644
Aaron Williams,0.20287953324461136,0.36934607279285414,0.7488845206871717,0.7581598946541006,0.6724513324616151,0.6876113163233767,0.7071483548969865,0.3575811015163979,0.1898030068142774,0.2664394253660659
Adam Keefe,0.21254957851854564,0.2281130856253166,0.8120744291732027,0.858551889935825,0.6844329076243,0.6673931872848234,0.4942876481287726,0.5064752171424118,0.17257775576747908,0.3097340178053615
Adonal Foyle,0.09297626683771648,0.19191521483060367,0.29647804696665797,0.8026401266530406,0.7163960064782281,0.8957278550588388,0.8679005832793686,0.26216173496571105,0.09736923377176612,0.23035931103481486
Adrian Dantley*,0.233670698254187,0.8474693757315694,0.9524270836518443,0.5928252463231214,0.39394039903903083,0.22698351082242324,0.1680950102790149,0.3934385985515733,0.4851223358787378,0.3839124070063108
Adrian Griffin,0.40871197701040757,0.1557280515049525,0.26026727706397423,0.5980771145856941,0.5666380205248777,0.8321403285968985,0.28616173145403623,0.8581525009114236,0.468680507527955,0.6968732852169394
Adrian Smith,0.09297626683771648,0.6096033197679969,0.37642318442004963,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.3514080315659359,0.05420141116100064
Al Attles,0.09297626683771648,0.4416507907357369,0.2890974485708883,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.4457582869639984,0.05420141116100064
Al Bianchi,0.09297626683771648,0.5864650870905512,0.07177901675194805,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.07031352304739896,0.05420141116100064
Al Butler,0.09297626683771648,0.6758791259688971,0.2670643484612823,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.044119914239658796,0.05420141116100064
Al Ferrari,0.09297626683771648,0.27287443082598495,0.12558557216838573,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.020846696600384865,0.05420141116100064
Al Harrington,0.6763040957606075,0.4777870152582995,0.5596423824890723,0.5189864389568207,0.6361897979322593,0.28560003953280955,0.3274094636932448,0.5121416914120563,0.3738048418536153,0.33454692783181955
Al Horford,0.4394942683237234,0.6421077893434174,0.8434622741711264,0.6444246668754738,0.8320404370571896,0.8552024470021419,0.6742197060437922,0.3819030584023101,0.5587488605965362,0.6668301991079698
Al Jefferson,0.26039038715649515,0.8501257894270327,0.5881442107254116,0.7110285065199863,0.8948533006944057,0.6581323720520413,0.703848962600485,0.3507447457231906,0.36703902485197726,0.4640580424438905
Al Skinner,0.09297626683771648,0.5252397934605761,0.4632574859995938,0.4381629354465829,0.4230526154141279,0.5630137166201592,0.37156691730927444,0.7178790698484456,0.5912228076482104,0.2523945768100641
Al Thornton,0.428964999065773,0.5337747848321337,0.4888233882273156,0.49485146270490743,0.4682372906234988,0.24563004772015362,0.4909806090568255,0.32133054776497333,0.24488926801933308,0.325711262514658
